Gene_ID,length,BA21_DS_F,BA22_WS_F,BA23_DS_M,BA24_WS_M,BA25_DS_F,BA26_WS_F,BA27_DS_M,BA28_WS_M,BA29_DS_F,BA30_WS_F,BA31_DS_M,BA32_WS_M
comp102258_c0,418,14,5,8,14,5,9,6,3,4,12,16,10
comp10228_c0,531,8,7,8,3,6,7,6,9,6,1,8,9
comp102337_c0,468,12,0,6,5,0,6,5,0,11,6,3,6
comp1024_c0,318,3,0,0,0,3,3,1,1,2,0,2,1
comp10240_c0,353,0,2,1,3,0,1,0,0,0,0,2,3
comp10242_c0,380,1,3,3,1,2,0,2,0,2,1,3,2
comp10244_c0,834,15,9,6,12,5,14,1,6,1,3,18,16
comp10247_c0,439,3,1,0,1,0,0,3,0,2,1,1,5
comp10248_c0,353,4,1,3,2,1,0,1,4,0,2,2,6
comp1025_c0,442,8,5,4,3,6,0,0,5,2,2,3,2
comp102528_c0,1635,66,43,47,49,35,39,22,34,23,25,65,69
comp10256_c0,353,0,4,0,2,0,0,1,0,0,0,0,3
comp10257_c0,660,1,4,3,1,0,9,2,0,4,6,5,2
comp1026_c0,651,11,8,2,3,4,0,5,5,2,3,2,1
comp10261_c0,405,1,0,4,0,0,1,2,1,0,0,1,1
comp10264_c0,301,2,1,2,3,0,0,1,2,5,0,4,2
comp10267_c0,419,1,0,5,2,1,0,2,0,0,0,0,1
comp10269_c0,2583,25,21,33,12,26,68,20,22,28,29,28,53
comp1027_c0,363,2,1,4,5,3,1,1,3,1,4,0,1
comp102736_c0,2392,82,71,74,80,45,45,71,60.28,62,71,41.37,69
comp102762_c0,375,0,16,32,0,0,0,0,47,0,0,0,25
comp102766_c0,455,3,10,9,10,10,9,5,7,10.03,20,8,9
comp10277_c0,421,2,4,3,3,3,2,0,3,3,0,3,5
comp10278_c0,600,4,1,2,1,4,3,1,8,6,5,3,1
comp1028_c0,351,2,0,2,4,0,0,0,0,0,1,0,0
comp10286_c0,426,3,1,2,1,2,1,5,2,0,0,0,2
comp10293_c0,338,0,2,0,0,1,1,1,0,0,0,1,1
comp10296_c0,433,3,1,3,2,1,1,1,0,2,1,1,1
comp1030_c0,327,0,3,1,4,0,2,0,2,0,1,1,1
comp103006_c0,418,0,13,2,11,25,10,84,9,48,0,33,22
comp10306_c0,392,0,2,5,0,3,2,0,0,0,1,3,1
comp10308_c0,532,1,1,2,2,2,3,2,1,2,1,2,2
comp10310_c0,464,1,0,1,0,1,2,0,0,1,1,1,2
comp103141_c0,392,8,1,34,0,0,2,0,1,11,0,24,0
comp10316_c0,488,1,2,2,0,0,0,0,0,0,0,0,0
comp103164_c0,457,4,25,0,14,2,14,6,14,4,1,0,8
comp1032_c0,397,0,4,2.21,2,3,3,2,0,4,3,0,1
comp10321_c0,362,1,3,1,1,7,1,0,0,1,0,0,0
comp10322_c0,315,2,1,2,0,0,0,3,0,0,0,0,1
comp103225_c0,304,11,15,3,6,12,9,1,14,5,2,0,5
comp10324_c0,452,0,0,9,0,0,0,6,0,0,0,0,0
comp10327_c0,305,0,0,2,2,0,1,0,1,0,0,0,1
comp10330_c0,475,0,1,1,6,1,2,1,0,4,4,0,5
comp103302_c0,516,15,8,0,26,0,13,14,8,0,0,27,11
comp10332_c0,549,4,0,3,1,2,0,0,0,1,1,0,3
comp10334_c0,440,0,3,1,2,1,0,0,1,0,0,0,1.99
comp10336_c0,455,8,4,5,0,2,5,3,8,3,2,3,8
comp10340_c0,472,3,1,2,2,4,2,2,2,2,0,2,0
comp103470_c0,781,31,82,2,1,4,5,0,1,23,65,2,18
comp103473_c0,323,0,0,33,0,14,0,0,0,22,0,34.46,0
comp10348_c0,356,0,2,0,1,0,0,0,0,0,0,0,0
comp103490_c0,851,30,24,34,28,32,32,13,28,22,15,33,30
comp10354_c0,371,4,1,3,0,1,0,5,1,6,3,0,0
comp103570_c0,378,2,0,5,4,2,0.9,1,1,2,0,0,3
comp1036_c0,392,5,0,4,1,3,3,0,2,6,2,2,0
comp103664_c0,1970,93,11,89,24,117,23,40,15,56,7.9,110.01,17
comp10367_c0,378,2.64,2,4,6,3,9,5,5,8,9,4,11
comp1037_c0,562,3,3,5,1,10,3,3,2,2.46,1,5,12
comp103727_c0,362,2,13,19,15,13,6,5,11,11,6,4,25
comp10373_c0,325,2,0,0,3,0,0,2,2,0,2,3,0
comp10374_c0,396,4,1,0,0,1,1,0,0,1,1,0,0
comp10386_c0,660,1,8,1,2,2,0,3,0,1,2,3,6
comp1039_c0,884,4,2,11,2,4,6,2,3,6,2,11,4
comp10390_c0,316,1,0,2,2,1,0,0,0,0,1,0,0
comp10394_c0,473,2,1,3,3,3,1,0,1,0,0,2,0
comp10395_c0,338,4,1,2,0,0,0,1,0,0,0,0,0
comp10396_c0,303,0,0,0,1,0,1,0,0,0,0,0,0
comp10400_c0,336,1,2,0,0,0,0,2,0,2,0,0,0
comp104017_c0,308,10,4,6,9,5,3,4,6,6,6,11,3
comp104024_c0,451,13,18,20,12,8,0,4,8,7,9,6,13
comp10404_c0,1030,3,6,5,6,4,8,3,0,1,4,6,2
comp10409_c0,915,5,6,6,0,0,4,3,0,1,1,2,0
comp10418_c0,421,2,3,0,0,2,0,0,0,0,0,0,0
comp10419_c0,333,1,3,2,0,1,0,0,0,0,0,0,1
comp1042_c0,1609,6,5,11,28,9,3,5,0,3,7,10,34
comp10422_c0,390,2,0,6,5,3,1,4,3,2,2,5,3
comp1043_c0,400,6,2,6,1,5,0,0,1,6,0,2,0
comp10437_c0,519,2,1,0,1,1,3,0,0,1,0,2,1
comp10439_c0,325,10,4,0,1,0,0,4,4,1,0,0,0
comp10446_c0,444,3,1,2,0,0,2,0,0,3,3,2,1
comp10454_c0,773,0,20,0,10,6,9,0,0,0,9,0,3
comp10460_c0,310,0,0,0,0,0,0,3,0,1,0,0,0
comp10463_c0,388,2,1,2,0,1,1,2,1,3,0,2,0
comp104633_c0,482,22,20,10,4,6,4,2,14,2,3,1,1
comp10464_c0,671,5,0,2,1,1,2,3,1,4,0,4,1
comp10466_c0,347,4,2,3,3,2,4,0,6,0,1,1,3
comp104667_c0,338,1,0,0,0,0,0,0,0,2,2,0,0
comp10471_c0,319,0,0,0,6,4,3,0,0,1,0,0,0
comp104735_c0,627,22,18,9,3,18,6,5,4,12,6,11,6
comp104797_c0,1378,49,36,29,32,24,25,33,58,30,2,44,42
comp10481_c0,332,1,1,1,2,2,1,2,0,1,0,4,0
comp10482_c0,379,3,0,1,1,3,0,0,1,0,0,0,2
comp10484_c0,359,0,4,2,0,3,2,0,2,0,0,1,2
comp10485_c0,375,1,0,2,5,3,0,0,0,0,0,0,0
comp104857_c0,813,18,10,16,26,7,16,8,6,7,19,9,15
comp10487_c0,547,4,0,3,1,0,1,0,1,2,2,1,0
comp104876_c0,405,64,2,2,1,6,2,4,0,4,1,6,0
comp1049_c0,973,12,4,8,3,5,6,0,9,2,4,9,11
comp104907_c0,324,10,6,0,14,0,10,13,11,0,0,22,8
comp10491_c0,370,0,0,4,0,4,3,0,2,1,0,0,4
comp10494_c0,533,6,1,4,0,3,1,1,1,0,0,0,0
comp104955_c0,1343,55,33,31,32.94,26,32,8,29,5,23,49.25,50.03
comp10496_c0,382,1,1,3,3,0,1,1,1,1,0,2,1
comp10498_c0,515,1,0,0,7,0,0,0,1,2,0,2,1
comp1050_c0,313,4,3,1,2,1,1,0,1,0,0,4,1
comp10507_c0,354,2,0,5,0,0,2,2,0,0,0,1,2
comp1051_c0,351,0,3,1,4,1,2,0,0,0,1,0,0
comp10514_c0,385,4,0,2,0,2,1,1,0,0,0,0,1
comp105169_c0,336,0,15,0,9,0,0,6,0,0,8,7,0
comp10518_c0,532,2,1,4,1,2,1,0,2,0,2,1,2
comp10519_c0,415,1,3,2,2,1,4,0,1,0,0,2,0
comp1052_c0,558,2,3,2,7,2,4,0,3,1,9,1,1
comp105289_c0,335,0,0,2,0,1,0,8,1,0,0,0,1
comp1053_c0,524,3,5,3,6,1,1,3,3,1,0,3,2
comp105321_c0,394,0,1,17,15,2,5,4,0,5.04,0,14,18
comp1054_c0,451,1,0,2,0,2,1.95,1,0,5,0,2,4
comp10541_c0,318,0,1,3,0,5,1,0,3,1,1,1,0
comp10547_c0,431,4,3,0,0,0,0,2,1,1,0,2,0
comp10548_c0,693,8,2,2,0,4,1,1,0,2,0,1,0
comp10549_c0,420,3,0,2,4,1,2,2,1,2,1,6,4
comp1055_c0,406,7,1,3,3,6,3,1,4,5,4,4,4
comp105534_c0,576,6,4,6,3,0,8,4,0,6,2,0,11
comp10555_c0,635,1,3,1,3,0,0,1,0,0,2,0,0
comp10556_c0,308.5,0,0,1,0,2,0,2,0,0,0,0,0
comp105563_c0,389,0,0,33,0,1,0,0,32,0,0,0,0
comp105578_c0,325,0,0,15,14,11,0,15,0,0,0,0,0
comp10560_c0,609,3,1,1,11,1,5,3,1,1,0,10,4
comp10561_c0,441,3,1,2,0,1,0,1,0,1,0,2,0
comp10562_c0,438,1,1.99,0,4,3,0,1,3,1,0,1,0
comp105628_c0,1325,44,49,46,47,35,47,33,32,27,46,60,53
comp10570_c0,441,2,0,0,2,1,1,1,1,1,0,0,0
comp10573_c0,315,1,0,0,3,0,2,1,1,0,0,1,1
comp105780_c0,441,7,6,8,9,9,6,7,2,8,15,16,5
comp1058_c0,630,4,5,6,3,5,1,2,2,6,3,2,4
comp10586_c0,616,3,2,2,0,1,2,0,9.98,7,1.99,1,0
comp10587_c0,379,2,3,1,1,2,2,1,0,0,0,0,0
comp105876_c0,761,36,1,0,7,13,9,0,0,0,5,1,0
comp10593_c0,334,2,2,3,2,3,1,1,0,0,0,2,2
comp10594_c0,390,9,1,2,2,1,0,0,0,1,0,1,1
comp10595_c0,603,3,2,1,1,0,2,0,0,0,8,0,0
comp10601_c0,919,3,6,4,10,4,6,3,7,1,3,2,7
comp10603_c0,391,2,4,2,4,0,1,2,0,1,0,0,2
comp1061_c0,492,6,7,6,0,3,0,3,2,0,1,3,4
comp10611_c0,369,1,4,0,0,0,0,0,0,1,0,0,2
comp106120_c0,351,14,7,11,13,8,14,3,11.01,7,8,16,16
comp106127_c0,645,17,10,14,10,16.13,14,5,16,10,10,8,8
comp10613_c0,390,1,2,1,4,0,2,2,0,0,0,10,0
comp10620_c0,647,4,2,4,5,7,8,5,9,3,5,1,1
comp10621_c0,436,7,3,1,3,3,0,5,5,6,6,1,3
comp10625_c0,337,1,1,1,1,0,2,1,3,0,1,1,2
comp10626_c0,437,3,2,0,1,0,3,0,0,0,1,0,1
comp106296_c0,1203,58,37,38,39,45,45,15,58,49,37,59,48
comp1063_c0,718,4,2,10,10,4,4,2,4,4,4,5,8
comp10630_c0,659,1,3,2,4,3,0,0,0,2,1,1,1
comp10636_c0,471,11,2,6,0,7,2,6,6,5,0,5,7
comp1064_c0,685,1,6,2,12,3,15,5,1,2,5,2,13
comp10646_c0,456,4,2,3,0,2,3,0,1,6,0,2,0
comp10652_c0,669,1,0,9,0,3,0,14,4,2,1,0,0
comp106532_c0,354,23,12,3,1,0,3,0,0,23,1,1,10
comp10657_c0,428,2,1,2,0,1,1,0,1,1,1,4,0
comp10658_c0,351,1,1,1,0,1,0,0,0,2,1,1,0
comp10659_c0,685,6,2,1,1,6,3,3,1,1,0,0,4
comp1066_c0,332,0,3,0,6,2.2,2,5,0,16,13,3,0
comp10663_c0,469,0,0,2,3,2,0,0,0,0,0,0,1
comp10664_c0,342,2,0,3,0,0,0,1,0,1,0,0,0
comp10667_c0,381,1,2,3,1,0,3,1,0,1,0,1,0
comp1067_c0,412,3,1,3,5,8,4,8,4,3,2,3,4
comp10672_c0,644,5,4,4,0,4,5,1,2,1,3,6,3
comp10685_c0,351,2,2,0,0,0,0,1,0,2,0,1,0
comp10686_c0,304,3,0,4,0.95,0,0,0,0,0,0,0,0
comp10687_c0,476,1,1.33,8,3,3,2,6,2,1,2,4,1
comp10688_c0,479,6,0,0,1,0,0,0,2,0,3,3,4
comp1069_c0,613,3,4,3,1,9,5,1,4,7,5,9,5
comp10690_c0,524,2,7,1,1,1,1,5,1,5,1,1,3
comp10695_c0,375,2,1,1,4,1,0,2,1,2,3,0,0
comp10700_c0,443,2,4.01,3,3.01,8,1,3,4,1,3,2,1
comp10701_c0,321,0,1,0,0,0,0,0,0,0,0,0,0
comp10707_c0,309,4,0,0,2,1,1,0,3,1,0,0,4
comp10710_c0,354,0,0,4,1,0,0,1,0,0,0,1,1
comp10712_c0,489,7,0,0,0,1,0,1,0,0,0,1,1
comp1072_c0,372,21,1,0,0,57,1,0,0,39,0,43,89
comp10727_c0,592,5,1,4,1,1,2,3,1,1,3,1,1
comp10729_c0,403,4,7,1,0,7,3,2,0,3,10,1,2
comp107307_c0,343,9,7,2,11,0,0,3,1,0,7.7,0,0
comp10738_c0,361,1,3,1,1,1,3,1,1,2,0,1,1
comp1074_c0,431,5,0,2,0,0,2,3,1,1,2,4,2
comp107410_c0,795,27,11,14,25,19,19,20,25,6,18,29,17
comp10744_c0,495,0,1,4,0,0,0,1,3,1,1,1,1
comp107557_c0,441,11,22,0,13,41,21,44,19,4,12,21,16
comp10756_c0,341,0,2,4,0,0,0,0,0,0,0,0,0
comp1076_c0,1154,5,8,6,4,1,4,2,2,2,5,2,0
comp10761_c0,553,1,3,2,2,2,2,2,2,2,2,0,5
comp107631_c0,311,4,8,11,3,3,0,2,1,5,1,2,3
comp10764_c0,331,2,1,4,0,1,1,2,0,0,0,3,0
comp10765_c0,319,0,3,3,0,1,0,0,0,0,0,0,0
comp107708_c0,690,28,10,15,7,19,11,11,9,8,12,6,5
comp10773_c0,439,1,2,0,0,1,1,3,1,2,1.97,0,1
comp107739_c0,3246,136,92,116,110,138,123,117,120,73,66,127,146
comp10774_c0,325,1,0,0,0,0,0,0,1,0,0,0,0
comp107754_c0,391,15,0,0,12,22,10,0,18,20,16,0,11
comp10780_c0,403,4,0,0,0,0,0,0,0,0,0,1,0
comp10782_c0,561,5,4,4,4,6,4,3,2.79,2,1,0,0
comp10786_c0,634,9,6,8,6,4,5,6,0,9,4,11,7
comp10790_c0,489,4,1,2,1,2,4,1,6,1,2,3,2
comp10792_c0,337,0,0,3,4,10,2,1,0,0,0,0,1
comp10794_c0,347,0,0,0,0,0,0,0,0,0,0,0,0
comp10805_c0,470,2,1,3,3,2,3,1,1,0,2,0,2
comp108058_c0,459,13,2,9,2,0,1,0,2,0,0,7,0
comp10808_c0,406,2,2,2.41,0,1,1,1,3,1,0,1,0
comp10810_c0,344,0,2,0,0,1,0,0,0,1,1,0,0
comp10811_c0,703,4,5,1,4,3,4,2,7,4,3,4,7
comp10815_c0,319,0,2,0,0,0,1,1,0,0,0,0,0
comp108151_c0,1568,10,25,47,25,8,1,0,14,20,50,0,40
comp10816_c0,685,3,6,4,3,5,1,1,5,2,1,2,3
comp10817_c0,314,0,2,1,0,0,0,0,0,0,0,0,0
comp10820_c0,531,1,2,1,3,0,0,0,0,5,0,2,0
comp10821_c0,684,5,5,5,6,2,10,4,3,4,3,5,4
comp10824_c0,597,3,4,2,6,2,5,3,6,0,5,5,7
comp10826_c0,1029,2,9,7,6,0,4,2,1,3,1,1,6
comp10828_c0,351,2,2,0,3,1,1,0,0,0,0,1,2
comp10835_c0,492,2,1,3,2,0,1,1,3,1,4,1,4
comp108351_c0,776,40,21,32,27,26,31,19,17,28,19,23,23
comp10836_c0,381,2,0,2,2,2,1,0,0,0,0,0,0
comp108366_c0,397,15,7,9,14,5,13,2,12,5,9,13,10
comp10837_c0,342,2,1,1,0,0,0.77,0,1,1,0,0,1
comp10839_c0,1242,14,0,9,1,0,3,11,8,0,24,1,0
comp1084_c0,337,0,0,0,2,0,1,1,1,0,4,3,0
comp108429_c0,391,3,6,9,10,1,8,4,4,2,2,4,3
comp10844_c0,1015,13,15,6,12,12,6,5,18,6,12,9,19
comp10846_c0,1095,22,7,13,11,8,6,4,9,4,5,13,11
comp108477_c0,839,14,22,18,24,19,15,28,25,7,17,21,20
comp108485_c0,335,2,0,1,1,0,0,3,1,2,1,1,0
comp10849_c0,320.5,0,0,1,1,0,1,0,0,0,0,0,0
comp1085_c0,1335,7,27,10,1,11,16,8,33,15,9,2,13
comp10855_c0,546,3,4,3,0,0,0,1,1,0,2,3,0
comp108569_c0,445,0,0,0,42,0,0,0,0,0,0,0,42
comp10857_c0,301,4,2,3,4,3,0,1,6,1,1,5,4
comp108637_c0,321,4,5,6,10,5,9,9,4,4,10,4,4
comp10867_c0,481,5,1,1,2,2,0,0,1,3,1,3,1
comp10871_c0,389,0,2,0,2,0,4,0,1,0,5,0,0
comp108725_c0,314,5,5,3,6,9,11,3,7,8,6,8,12
comp10876_c0,342,0,0,0,1,0,0,0,0,0,0,0,0
comp1088_c0,336,0,0,3.57,2,1,1,5,0,0,0,0,0
comp10884_c0,679,3.05,4,5,8,4,2,5,7,2,7,5,4
comp108855_c0,304,4,7,6,12,3,4,11,4,0,4,9,6
comp108948_c0,397,14,12,13,7,6,12,8,9,6,6,13,14
comp109_c0,410,1,2,2,2,4,2,7,3,0,3,5,3
comp10904_c0,324,0,1,0,2,0,0,0,0,0,0,0,0
comp109054_c0,337,26,0,0,0,0,0,29,0,0,0,0,22
comp10907_c0,350,1,2,2,1,4,0,4,0,2,1,1,0
comp1091_c0,306,2,0,2,0,2,0,0,3,0,2,3.7,2
comp109188_c0,374,0,0,23.55,0,0,0,0,0,33,0,0,0
comp109192_c0,357,1,0,0,3,1,3,0,4,3,4,3,2
comp1092_c0,368,1,0,0,3,2,0,1,0,1,0,1,1
comp109209_c0,648,18,6,11,13,1,12,31,5,29,6,7,2
comp10924_c0,325,1,4,0,3,5,1,0,1,1.08,0,0,1
comp10925_c0,656,16,10,6,3,3,5,2,10,6,6,6,5
comp10926_c0,350,2,1,2,1,0,1,0,2,2,1,2,3
comp1093_c0,360,1,3,1,1,0,0,0,0,0,0,2,0
comp10930_c0,428,3,0,3,3,2,0,0,1,1,0,1,0
comp10932_c0,328,0,3,2,1,0,0,0,3,0,0,0,1
comp10938_c0,732,0,4,4,3,0,0,1,0,0,0,0,2
comp109464_c0,417,4,15,13,7,0,7,1,5,4,0,5,8
comp109481_c0,325,7,4,8,11,8,6,1,6,13,1,4,12
comp10955_c0,304,0,0,3,0,0,1,0,0,0,0,0,0
comp109564_c0,366,9,9,7,10,7,0,8,13,10,0,6,7
comp109605_c0,509,18,21,14,7,10,13,10,12,10,4,4,19
comp10961_c0,1178,4,17,0,8,0,12,4,5,1,5,1,3.95
comp10962_c0,323,7,0,0,1,0,4,0,1,2,0,3,3
comp10963_c0,342,1,0,3,1,0,0,2,1,1,0,0,0
comp10968_c0,522,3,3,3,1,1,0,0,0,0,0,1,0
comp1097_c0,358,2,1,2,1,0,1,0,1,2,1,0,0
comp109700_c0,573,12,15,14,4,10,9,6,17,6,5,13,17
comp10972_c0,445,0,0,5,0,9,0,0,4,1,3,0,0
comp10973_c0,355,3,0,2,2,0,0,0,0,0,1,0,1
comp10975_c0,381,1,3,1,0,0,1,3,1,0,4,0,3
comp10977_c0,408,7,0,0,0,0,0,10,0,7,2,16,0
comp10979_c0,483,0,2,0,5,1,0,4,2,1,1,6.23,1
comp1098_c0,418,0,3,0,2,0,0,5,6,1,0,0,0
comp1099_c0,689,1,2,12,0,1,1.22,3,0,3,2,4,2
comp10992_c0,306,0,0,0,2,0,0,0,0,1,1,0,0
comp109929_c0,762,24,12,15,39,25,7,13,15,0,18,22,36
comp10999_c0,409,1.4,2,0,1,0,0,1,0,2,0,2,2
comp11001_c0,483,2,3,2,0,0,4,2,0,0,2,2,1
comp11002_c0,318,2,2,0,0,0,1,0,0,0,0,1,0
comp11005_c0,329,2,0,2,1,0,1,1,0,0,0,0,2
comp11007_c0,311,3,1,2,0,1,0,1,1,1,1,1,1
comp11008_c0,437,8,4,7,2,2,5,1,1,3,2,7,1
comp11009_c0,317,1,0,2,0,0,0,0,0,0,0,0,1
comp1101_c0,396,1,2,0,4,0,1,0,1.91,0,0,3,1
comp11018_c0,408,0,0,1,0,1,2,0,0,0,1.82,0,0
comp1102_c0,653,9,4,1,2,2,7,1,0,1,1,4,2
comp11020_c0,331,3,2,4,3,0,1,4,1,1,1,0,3
comp11029_c0,371,4,1,0,2,0,0,0,0,0,0,2,1
comp11030_c0,440,1,0,7,1,4,1,2,0,0,0,0,1
comp11031_c0,536,10,3,4,4.61,0,3.97,0,5,5,5,3,2
comp110311_c0,662,3,7,10,9,8,5,7,4,7,6,7,1
comp110390_c0,323,0,1,0,0,2,3,0,0,0,0,2,1
comp110408_c0,498,8,6,10,5,8,10,2,5,6,8,19,8
comp110415_c0,632,14,8,6,4,14,3,0,10,11,0,10,13
comp110425_c0,1966,93,131,2,0,185,260,69,1,136,85,261,140
comp11045_c0,322,0,4,0,0,0,1,0,0,0,0,0,0
comp110528_c0,324,0,0,17,17,0,0,22,30,0,17,0,16
comp11053_c0,334,6,4,6,2,2,2,4,1,2,3,0,4
comp11054_c0,301,0,1,0,2,2,1,2,2,1,0,2,4
comp110563_c0,326,4,2,1,0,1,1,1,0,1,0,0,0
comp11068_c0,399,2,1,5,4,6,4,2,4,7,3,3,0
comp1107_c0,331,2,3,2,1,0,0,0,0,0,0,0,0
